127.0.0.1 - - [06/Feb/2023:23:30:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:30:20 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:30:20 +0900] "GET /yogi/yogiproject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:30:20 +0900] "GET /yogi/yogiproject/css/search_main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:30:20 +0900] "GET /yogi/yogiproject/js/Header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:30:20 +0900] "GET /yogi/yogiproject/css/Header.css HTTP/1.1" 200 6011
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:30:20 +0900] "GET /yogi/yogiproject/css/style2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:30:20 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:30:20 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:30:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:31:02 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3142
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:31:02 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:31:02 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:31:35 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:31:35 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:31:35 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:31:40 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:32:40 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3856
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:32:40 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:32:40 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:33:07 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 4070
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:33:07 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:33:07 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:34:19 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:34:19 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:34:19 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:35:02 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3766
